county,NC,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_domestic,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active
"Catoosa County, Georgia",0,13047,66299,5.5,6.3,11.8,17442,3.17,1083,2234,3317,19.01731453,87.4,20.8,94.6,3.7,2.9,1.8,11.7,46,
"Charlton County, Georgia",0,13049,12983,5.2,5.6,10.8,2552,3.97,191,286,477,18.69122257,73.3,10.5,69,27.7,8.5,1,35,8,
"Chatham County, Georgia",0,13051,287049,6.5,5.9,12.4,66668,3.18,4799,17720,22519,33.77782444,89.6,33.2,55.2,41.5,6.3,3.5,22.5,201,
"Chattahoochee County, Georgia",0,13053,10767,8.3,6.4,14.7,1898,3.19,39,362,401,21.12750263,92.8,33.4,72.6,22.8,15.4,4.5,24.6,9,
"Chattooga County, Georgia",0,13055,24817,5.5,6.8,12.3,5892,3.12,457,1115,1572,26.6802444,73.1,9.8,87.5,10.7,5,0.7,23.3,13,
"Cherokee County, Georgia",0,13057,241910,6.1,6.8,12.9,64450,3.24,3533,7418,10951,16.99146625,91.4,37,88.5,7.8,10.3,2.5,10.5,383,
"Clarke County, Georgia",0,13059,124602,5.4,4.6,10,23331,3.1,1733,6014,7747,33.20474905,87.1,42.7,65.2,28.8,10.7,5.1,34.5,127,
"Clay County, Georgia",0,13061,3001,4.9,5.2,10.1,692,3.33,69,243,312,45.0867052,79.8,7.9,30.3,68,0,1.4,63.9,18,
"Clayton County, Georgia",0,13063,278666,7.7,7.8,15.5,62196,3.66,7329,23904,31233,50.21705576,84.7,19.5,18.9,71.3,13.2,5.7,31,625,
"Clinch County, Georgia",0,13065,6743,8.4,5.1,13.5,1593,3.2,104,493,597,37.47645951,70.8,11.1,67,28.7,5.1,0.7,47.1,7,
"Cobb County, Georgia",0,13067,745057,6.4,6.9,13.3,189546,3.18,11236,36714,47950,25.29728931,91.8,46.5,61.8,29.2,12.8,6.1,13.6,1402,
"Coffee County, Georgia",0,13069,42961,6.8,7.5,14.3,9756,3.37,814,2422,3236,33.16933169,77.4,13.2,68.3,28.8,11.5,1.5,31.1,105,
"Colquitt County, Georgia",0,13071,45606,7,7.1,14.1,10702,3.47,950,2586,3536,33.04055317,73.8,12.5,65.9,23.6,19,1.1,37.9,166,
"Columbia County, Georgia",0,13073,147295,6.4,7.4,13.8,35527,3.65,1657,4713,6370,17.93002505,92.6,35.1,77.5,18.3,6.4,5.3,11.1,143,
"Cook County, Georgia",0,13075,17184,6.6,7.6,14.2,4386,3.26,324,936,1260,28.72777018,79.9,15.5,69.8,28.5,5.7,0.7,32.6,16,
"Coweta County, Georgia",0,13077,140516,6.2,7.2,13.4,38004,3.17,1903,6737,8640,22.73444901,88.8,29.8,78.9,18.8,6.8,2.6,16.1,186,
"Crawford County, Georgia",0,13079,12344,5.2,4.2,9.4,3332,3.13,309,645,954,28.63145258,83.5,10.3,75.3,24.7,1.3,0.6,25.1,14,
"Crisp County, Georgia",0,13081,22846,6.4,7.1,13.5,5646,3.33,233,1802,2035,36.04321644,80.1,13.7,54.9,44.3,3.3,1.4,43,154,
"Dade County, Georgia",0,13083,16227,4.7,4.4,9.1,4578,2.81,311,600,911,19.89951944,79.1,13.9,97.2,1.1,2.2,2.1,16.9,16,
"Dawson County, Georgia",0,13085,23861,5.7,5.2,10.9,6374,3.19,278,619,897,14.07279573,86,30.4,97.8,1.2,4.4,1.3,8.6,52,
"Decatur County, Georgia",0,13087,26833,6.7,6.2,12.9,6781,3.14,358,2093,2451,36.14511134,81.6,14.6,53.2,41.8,5.9,0.6,32.6,1813,
"DeKalb County, Georgia",0,13089,743187,7.1,6.6,13.7,162716,3.42,13517,48040,61557,37.83094471,89,43.4,36.5,55.5,8.6,7.1,26.6,63,
"Dodge County, Georgia",0,13091,20919,5.3,4.7,10,5230,2.99,459,1140,1599,30.57361377,83.2,13.7,70.2,29.7,3.5,1,33.1,23,
"Dooly County, Georgia",0,13093,13905,4,4.8,8.8,3285,3.22,168,985,1153,35.09893455,75.2,11.3,46.7,50.3,6.9,0.2,41.6,111,
"Dougherty County, Georgia",0,13095,91049,6.8,6.5,13.3,21261,3.19,1746,8847,10593,49.82362071,82.5,21.4,28.2,70.3,2.7,1.2,44.6,1366,
"Douglas County, Georgia",0,13097,141840,6.3,7.3,13.6,35050,3.42,2551,8667,11218,32.00570613,88,27.1,49.1,47.4,9.4,2.2,17.3,273,
"Early County, Georgia",0,13099,10348,6.4,7.5,13.9,2757,3.1,233,922,1155,41.89336235,80.1,15.6,46.5,52,2.2,0.7,45.2,187,
"Echols County, Georgia",0,13101,3994,4.7,7,11.7,1079,3.14,87,167,254,23.54031511,71.5,8.8,77.8,5,24.6,0,23.9,5,
"Effingham County, Georgia",0,13103,58689,6.7,7.4,14.1,14996,3.35,876,2241,3117,20.78554281,88,20.1,84,14.6,4.2,1.4,11.4,33,
"Elbert County, Georgia",0,13105,19212,5.8,5.9,11.7,4908,3.19,366,1182,1548,31.5403423,77.4,10.8,68.5,30.9,5.6,0.2,28,19,
"Emanuel County, Georgia",0,13107,22499,6.8,6.2,13,5648,3.2,500,1568,2068,36.61473088,79.2,12.4,63.9,35.6,4.5,0.4,37.4,20,
"Evans County, Georgia",0,13109,10727,7.3,8.4,15.7,2819,3.02,253,934,1187,42.10713019,74.3,15.5,59.2,30.8,11.7,1.1,36.9,4,
"Fannin County, Georgia",0,13111,24925,4,4,8,6987,2.87,492,840,1332,19.06397596,86.7,21.3,98.2,0.4,2.3,0.7,16.4,24,
"Fayette County, Georgia",0,13113,111369,4.4,5.7,10.1,30563,3.24,1226,3673,4899,16.02918562,94.8,46.5,70.4,23.4,7.2,5.7,7.6,161,
"Floyd County, Georgia",0,13115,96824,6,6.1,12.1,24857,3.12,2003,5212,7215,29.02602889,81,20.4,80,15.4,10.8,1.9,28.4,123,
"Forsyth County, Georgia",0,13117,219880,6.2,8.1,14.3,60229,3.31,2283,5606,7889,13.09834133,92.8,51.7,83.1,4.1,9.5,12.7,6.9,263,
"Franklin County, Georgia",0,13119,22514,6.1,5.6,11.7,5932,3.13,456,1054,1510,25.45515846,80,13.5,87.2,10,4.5,1.3,33.2,17,
"Fulton County, Georgia",0,13121,1021902,6.1,6.5,12.6,216890,3.37,16016,55661,71677,33.04762783,92.1,51.4,46.6,45.3,7.3,7.7,22.1,2577,
"Gilmer County, Georgia",0,13123,29922,5.2,4.3,9.5,8002,3.08,456,829,1285,16.05848538,81.9,20,92.6,0.8,11.5,0.7,29.2,54,
"Glascock County, Georgia",0,13125,3009,4.5,6.9,11.4,728,3.39,32,158,190,26.0989011,77.4,9,90.3,10.5,1.6,0,24.4,0,
"Glynn County, Georgia",0,13127,83974,5.9,6.3,12.2,22088,3.01,1379,5293,6672,30.20644694,87.9,29.6,69.7,27.7,6.6,2.1,30.3,50,
"Gordon County, Georgia",0,13129,56790,6.2,6.4,12.6,15096,3.2,990,2696,3686,24.41706412,77.7,14.4,90.7,4.8,15.6,1.3,32.6,69,
"Grady County, Georgia",0,13131,24926,6.7,6.3,13,6441,3.17,516,1402,1918,29.77798478,80.3,14.1,68.8,30.8,11.1,0.8,33.1,51,
"Greene County, Georgia",0,13133,16976,4,6,10,4828,2.9,281,959,1240,25.68351284,83.2,25.8,59.1,36,6,1,37.4,53,
"Gwinnett County, Georgia",0,13135,902298,6.8,7.4,14.2,217852,3.61,14488,40983,55471,25.46269945,87.7,36.1,51.9,28.7,20.9,12.5,16.2,1493,
"Habersham County, Georgia",0,13137,44289,6,5.9,11.9,10364,3.38,584,1174,1758,16.96256272,78.2,18.7,88.8,4.1,14.5,2.5,16.5,189,
"Hall County, Georgia",0,13139,195961,6.6,7.2,13.8,47761,3.51,3299,8210,11509,24.09706664,78.4,24,86.9,8.2,28.1,2.3,22.6,1086,
"Hancock County, Georgia",0,13141,8535,3.4,3.7,7.1,1736,2.6,115,619,734,42.28110599,71.5,8.8,25.2,73,1.9,1.1,37.8,25,
"Haralson County, Georgia",0,13143,28956,6,5.9,11.9,8059,2.99,907,1507,2414,29.9540886,80.7,14,94.1,5.6,1.6,0.9,20.3,26,
"Harris County, Georgia",0,13145,33590,4.7,5.9,10.6,9667,3.08,466,1106,1572,16.26150822,90.8,29.9,81.4,18.1,3.4,1.6,8.7,55,
"Hart County, Georgia",0,13147,25631,5.4,6.5,11.9,6950,2.98,398,1317,1715,24.67625899,80.4,15.1,79.5,19.3,3.7,1.1,21,9,
