county,lockdown,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_college_plus,pct_foreign,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active,median_fam_income,mean_fam_income,,,,,
"Pulaski County, Indiana",0,18131,12660,5.236966825,5.884676145,11.12164297,3409,3.01,177,506,683,20.03520094,47,9,1.3,97.2,1.2,2.9,0.7,19.7,25,0.197472354,56028,65786,,,0.041366247,0.046482434,
"Putnam County, Indiana",0,18133,37559,4.779147475,5.202481429,9.981628904,9337,2.82,628,1710,2338,25.04016279,43.8,9.2,2,94.8,3.3,1.9,2.4,19.9,67,0.178386006,69033,77340,,,0.012724374,0.013851491,
"Randolph County, Indiana",0,18135,25076,6.061572819,5.116446004,11.17801882,6663,2.95,432,1093,1525,22.88758817,42.5,8.1,1.6,97.8,1.5,3.4,0.3,23.2,13,0.051842399,56491,67671,,,0.024172806,0.020403757,
"Ripley County, Indiana",0,18137,28425,5.667546174,7.363236588,13.03078276,7846,2.99,457,1104,1561,19.89548815,43.5,11.3,1.5,97.9,0.8,1.8,1.1,17.1,88,0.309586631,67656,78132,,,0.019938597,0.025904086,
"Rush County, Indiana",0,18139,16704,5.537595785,5.477729885,11.01532567,4741,2.89,539,668,1207,25.45876397,46,8.2,0.7,98,2,1.6,0.3,24.3,31,0.185584291,60575,71195,,,0.033151316,0.032792923,
"St. Joseph County, Indiana",0,18141,269240,6.478606448,6.345268162,12.82387461,64343,3.2,4212,13038,17250,26.80944314,30.7,17.8,6.4,81.8,14.9,8.5,3,22.8,45,0.016713713,66073,84020,,,0.002406257,0.002356733,
"Scott County, Indiana",0,18143,23743,5.980710104,5.049909447,11.03061955,6411,3.06,526,978,1504,23.45967868,44.2,6.8,1.3,98.6,0.8,2.2,0.9,24.1,201,0.846565303,57302,64992,,,0.025189362,0.021269045,
"Shelby County, Indiana",0,18145,44399,5.64652357,5.693821933,11.3403455,11921,2.97,956,1697,2653,22.25484439,42.7,12.8,2.4,95.6,1.7,4.2,1,16.7,5,0.011261515,71673,83456,,,0.012717682,0.012824212,
"Spencer County, Indiana",0,18147,20526,5.485725421,6.094709149,11.58043457,5803,2.97,292,588,880,15.16457005,44.9,9.9,1.4,97.8,1.2,2.9,0.4,14,623,3.0351749,70984,86505,,,0.02672574,0.02969263,
"Starke County, Indiana",0,18149,22941,5.570812083,6.473126716,12.0439388,6089,3.12,440,971,1411,23.1729348,42.1,7,2.2,97.6,0.8,3.6,0.9,17.3,15,0.065385118,57367,68373,,,0.024283214,0.02821641,
